,IDpol,ClaimNb,Exposure,Area,VehPower,VehAge,DrivAge,BonusMalus,VehBrand,VehGas,Density,Region
150598,1121127.0,0,1.0,'D',10,9,48,50,'B12','Regular',983,'R52'
640402,5109464.0,0,0.03,'B',4,0,44,50,'B12','Regular',65,'R93'
121548,1067258.0,0,0.11,'C',4,10,46,50,'B3','Diesel',135,'R93'
116320,1055319.0,0,0.13,'C',10,14,35,50,'B12','Regular',156,'R24'
59270,128106.0,0,0.15,'E',4,17,43,50,'B1','Regular',3859,'R82'
505686,4040089.0,0,0.14,'E',5,1,24,90,'B2','Regular',6924,'R11'
75798,158559.0,0,0.01,'D',6,5,25,100,'B1','Diesel',1313,'R24'
424064,3137039.0,0,0.24,'C',6,7,49,50,'B1','Diesel',125,'R53'
206389,2013664.0,0,0.71,'E',4,1,31,95,'B12','Regular',8549,'R82'
155929,1128234.0,0,0.29,'E',7,4,67,50,'B2','Regular',8455,'R82'
342726,2275872.0,0,0.5,'D',10,12,38,64,'B2','Regular',1229,'R93'
424621,3138087.0,0,0.31,'C',7,19,41,54,'B2','Diesel',182,'R82'
200932,2003537.0,0,0.63,'E',5,2,43,61,'B12','Regular',5433,'R93'
224429,2057314.0,0,0.3,'C',9,25,37,50,'B13','Regular',129,'R72'
137021,1098567.0,0,1.0,'C',7,11,43,50,'B6','Regular',122,'R82'
87831,1001546.0,0,0.3,'D',10,1,59,50,'B12','Diesel',844,'R72'
643406,6011454.0,0,0.2,'E',4,5,55,50,'B12','Regular',7313,'R31'
468263,3232615.0,0,0.24,'A',6,10,67,58,'B2','Diesel',48,'R91'
85791,176471.0,0,0.73,'A',6,9,51,50,'B2','Regular',27,'R24'
64290,137555.0,0,1.0,'A',5,15,44,50,'B1','Diesel',15,'R24'
303222,2215032.0,0,0.49,'A',9,13,40,64,'B3','Regular',29,'R73'
225389,2058938.0,0,1.0,'C',7,12,73,50,'B1','Regular',132,'R24'
551356,4142534.0,0,0.07,'C',11,3,37,50,'B12','Diesel',222,'R24'
